Ticker,Name,Sector,Industry,Year,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,ROE,ROA,Asset_Turnover,Inventory_Days,Receivables_Days,Payables_Days,Debt_to_Equity,Debt_to_Assets,Interest_Coverage,Current_Ratio,Quick_Ratio,ROA_t+1,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,Cluster,Predicted_ROA
0001.KL,Supercomnet Technologies Berhad,Industrials,Electrical Equipment & Parts,2023-12-31,0.3241683301453852,0.208183514543623,0.2103218550405722,0.2509461252414129,0.0801746235434163,0.0747074470021414,0.3552053446263581,163.50901238403358,58.74433754045173,23.21689509995072,0.0731811453966332,0.0681908601455968,0.0,12.33065197573158,10.395374339958028,0.0697369374625194,0,0,0,0,0,0,1,0,0,0,0,0.045362934
0001.KL,Supercomnet Technologies Berhad,Industrials,Electrical Equipment & Parts,2022-12-31,0.304665184444509,0.2241987212721283,0.2078113862776555,0.2646390904685854,0.1000320579589264,0.0919775792781524,0.4426012497470266,128.37195823062902,61.95668747294788,38.46514051941149,0.0875700224335777,0.0805189740681051,0.0,10.004121944575363,8.3446065259693,0.0747074470021414,0,0,0,0,0,0,1,0,0,0,0,0.05249966
0001.KL,Supercomnet Technologies Berhad,Industrials,Electrical Equipment & Parts,2021-12-31,0.2915132020800731,0.2031136590977826,0.1755674908351566,0.2457774791451168,0.0814189947626931,0.0747566887093414,0.4258002911229833,112.98513521859432,73.50721924682766,21.79098165108689,0.0891198656384471,0.0818274172110566,0.0,9.574146304943602,8.151101448511861,0.0919775792781524,0,0,0,0,0,0,1,0,0,0,0,0.049210124
0002.KL,Kotra Industries Berhad,Healthcare,Drug Manufacturers—Specialty & Generic,2024-06-30,0.7339751229287499,0.2180186622173963,0.1968449023190939,0.3125524157595981,0.1619088073947407,0.1315562792783225,0.66832454246168,330.88552987439647,58.17663779937676,110.49503061275284,0.2307189613671266,0.1874668129845304,1527.3243243243244,2.6124926282681344,1.7174660900334184,0.1218959228360783,0,0,0,0,0,1,0,0,0,0,4,0.10350893
0002.KL,Kotra Industries Berhad,Healthcare,Drug Manufacturers—Specialty & Generic,2023-06-30,0.7419312218464982,0.2496459522954265,0.2693405009929851,0.3340889103588371,0.2406457158245382,0.1975100066004202,0.7333097171507984,345.70587482401123,52.07676332272222,120.02767822859336,0.2183975888947502,0.1792498531557881,339.85128205128206,3.1764211465230368,2.160948917630108,0.1315562792783225,0,0,0,0,0,1,0,0,0,0,4,0.1268473
0002.KL,Kotra Industries Berhad,Healthcare,Drug Manufacturers—Specialty & Generic,2022-06-30,0.7543250431662635,0.2672412549238398,0.2986528278110977,0.3533525397153672,0.254341771114934,0.207569370857053,0.695018936798227,326.5492364917776,61.66047028381518,132.57331636648394,0.2253338248545916,0.1838958659949925,127.14502164502164,3.356753944214223,2.507535353910765,0.1975100066004202,0,0,0,0,0,1,0,0,0,0,4,0.1357738
0008.KL,Willowglen MSC Berhad,Technology,Computer Hardware,2023-12-31,0.2469584746977589,0.0835380130931332,0.0495579872891479,0.090954269603861,0.049865131911088,0.0393504202158942,0.7940278120316443,14.323080925699127,89.57648014526688,60.84530011612485,0.2672071006486169,0.2108630077213484,31.752032520325205,4.397512308888313,4.274244024956645,-0.083352991707875,0,0,0,0,0,0,0,0,1,0,3,0.020361055
0008.KL,Willowglen MSC Berhad,Technology,Computer Hardware,2022-12-31,0.2720062329567588,0.0919361121932216,0.0799168939098818,0.1199428645630437,0.077841130431703,0.065622294349215,0.8211316924205525,10.21896872792654,76.53387871704973,48.105196315560406,0.1861994647347199,0.1569714624482327,556.4857142857143,5.732522612457271,5.613818555827812,0.0393504202158942,0,0,0,0,0,0,0,0,1,0,3,0.032687414
0008.KL,Willowglen MSC Berhad,Technology,Computer Hardware,2021-12-31,0.2780962499416242,0.1064189978050716,0.089081399150049,0.1341182926259748,0.0828159597099813,0.0714392719373806,0.8019549829594397,6.871143815954394,64.26449469948163,50.71895847652934,0.1592497720661659,0.137373132092431,379.8235294117647,6.08941342258235,6.007398273736128,0.065622294349215,0,0,0,0,0,0,0,0,1,0,3,0.03865783
0010.KL,IRIS Corporation Berhad,Industrials,Business Equipment & Supplies,2024-03-31,0.2291273699300473,0.1155081539605721,0.086893842223827,0.1259983616629121,0.0854114300395445,0.0509990416032743,0.5869120330978989,37.267186806349336,90.28219547948306,74.70151392806832,0.6747653946904905,0.4029014432885343,77.47727272727273,1.8398845333015328,1.719775316937172,0.0394282963430221,0,0,0,0,0,0,1,0,0,0,0,0.04310248
